;brasil;parana
janeiro 2012;91,1;93,7
fevereiro 2012;90,7;92,4
março 2012;92;93,1
abril 2012;92,2;93,5
maio 2012;92,9;94,6
junho 2012;93,8;96,2
julho 2012;93,5;95,7
agosto 2012;95,2;97,2
setembro 2012;94;96,3
outubro 2012;94,7;97,2
novembro 2012;94,9;97
dezembro 2012;96,9;96,6
janeiro 2013;95,1;96,7
fevereiro 2013;96,1;97,8
março 2013;95,3;96,8
abril 2013;97,3;95,9
maio 2013;97,2;96,5
junho 2013;97,7;96,8
julho 2013;98,1;97,7
agosto 2013;97,7;97,5
setembro 2013;98,3;99,4
outubro 2013;98,4;96,8
novembro 2013;99,6;99,3
dezembro 2013;99,2;99,2
janeiro 2014;100,8;100,5
fevereiro 2014;100;102,5
março 2014;99,8;103,3
abril 2014;100;102,7
maio 2014;99,6;101,2
junho 2014;99,6;99,6
julho 2014;99,9;99,7
agosto 2014;99,6;98,4
setembro 2014;100,4;97,5
outubro 2014;100,8;98,4
novembro 2014;101,2;100
dezembro 2014;99,4;97,6
janeiro 2015;98;96,5
fevereiro 2015;98,8;97,1
março 2015;98,3;98,9
abril 2015;97,7;96,9
maio 2015;97;94,1
junho 2015;96,4;94,9
julho 2015;96;95,4
agosto 2015;96,4;95,5
setembro 2015;95,4;95,5
outubro 2015;95,3;95,7
novembro 2015;94,5;94,9
dezembro 2015;94,2;95,9
janeiro 2016;93,5;94,9
fevereiro 2016;91,8;92,8
março 2016;93,1;91,6
abril 2016;92;92
maio 2016;92,1;92
junho 2016;91,9;92,3
julho 2016;92,5;90,8
agosto 2016;91,3;90,3
setembro 2016;91;90,1
outubro 2016;88,9;88,3
novembro 2016;89,1;88
dezembro 2016;89,6;87,9
janeiro 2017;89,7;96,3
fevereiro 2017;89,8;95,7
março 2017;87,5;93,6
abril 2017;88,4;96
maio 2017;88,5;96,5
